,id,description,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,interval,host_id_count,properties_owned
41206,32048862,Twin Beds  With Sauna & Relaxing Spa Amenities,89985620,Annette C,Brooklyn,Flatlands,40.62297,-73.92971,Private room,42,2,13,2019-06-26,3,280,188.0,1,single
46288,35186244,Relax in our Modern & Cozily renovated Urban Oasis,227818501,Jenna,Bronx,Williamsbridge,40.87846,-73.86311,Entire home/apt,140,2,4,2019-07-02,2,358,182.0,1,single
34141,27062294,"Private 1-bedroom, shared bath in Gramery/Union Sq",48539240,Shreyasi,Manhattan,Gramercy,40.73411,-73.98289,Private room,199,1,1,2018-07-30,2,0,519.0,1,single
9936,7647268,NiceRoomNiceNeighborhoodCloseMaimonidesHospital,40124500,Regina,Brooklyn,Borough Park,40.63741,-74.00118,Private room,45,1,43,2019-06-29,2,310,185.0,1,single
10303,7886635,- E - Cozy Secure Private Room in a Shared Loft,31304940,John,Brooklyn,Williamsburg,40.71636,-73.96246,Private room,60,2,97,2019-06-18,8,122,196.0,1,single
21411,17095925,Comfy Bedroom in Bushwick (3mins from Train),9439324,Chérie,Brooklyn,Bushwick,40.68699,-73.9056,Private room,46,1,63,2019-05-25,3,0,220.0,1,single
2136,982038,Entire 1bdrm cnr of Fort Greene- off Park,5378922,Eileen,Brooklyn,Fort Greene,40.68859,-73.9729,Entire home/apt,130,9,3,2018-09-25,1,329,462.0,1,single
7280,5352802,Unique loft space in the middle of Manhattan!,5740424,Maria,Manhattan,Midtown,40.75045,-73.98456,Entire home/apt,200,6,1,2016-12-30,1,0,1096.0,1,single
40333,31283569,Cozy sunny room in Washington Heights,80054574,Esaú,Manhattan,Washington Heights,40.85547,-73.92912,Private room,33,3,1,2019-01-17,1,0,348.0,1,single
41306,32165536,1 Bedroom - Fully Furnished - Williamsburg Loft,1570799,Adam,Brooklyn,Williamsburg,40.70771,-73.94627,Private room,100,10,2,2019-06-19,1,3,195.0,1,single
7040,5061309,Sunny room in Bushwick; Minutes from subway!,13501341,Fiorella,Brooklyn,Bushwick,40.70171,-73.91344,Private room,60,1,155,2019-06-20,2,170,194.0,1,single
30019,23108652,"Big, Private, Hip 2BR in Williamsburg w/Terrace",7460552,Redford,Brooklyn,Williamsburg,40.71147,-73.96,Entire home/apt,325,2,7,2019-01-11,1,96,354.0,1,single
26912,21314338,Shared Apartment One stop from Manhattan in LIC.,55724558,Taylor,Queens,Long Island City,40.76044,-73.94087,Shared room,40,4,22,2019-01-25,5,90,340.0,1,single
28127,21942269,Natural Light Filled Apartment with lots of space,49716547,Josh,Manhattan,East Village,40.73127,-73.98729,Entire home/apt,150,7,4,2019-05-11,1,18,234.0,1,single
46914,35487203,Sweet-room,266983536,Nawa,Bronx,Longwood,40.82794,-73.90412,Private room,45,2,1,2019-06-24,1,364,190.0,1,single
44242,34124248,Emergency sleeping for backpacking or Couchsurfer,38483415,Florentino,Manhattan,East Harlem,40.80084,-73.94514,Shared room,35,1,9,2019-06-25,4,358,189.0,1,single
35281,27978257,1BR/Studio Superb for a professional (Hidden by Airbnb) Home,28190490,H,Manhattan,Hell's Kitchen,40.75435,-73.99744,Entire home/apt,90,4,6,2019-04-07,1,3,268.0,1,single
34654,27491393,The Best apartment in Bayridge,207195903,Veronica,Brooklyn,Bay Ridge,40.6294,-74.02258,Entire home/apt,80,3,39,2019-06-23,1,8,191.0,1,single
43133,33468884,Duplex Townhouse in Heart of Williamsburg,252163238,Kelly,Brooklyn,Williamsburg,40.71912,-73.94296,Entire home/apt,327,2,7,2019-06-16,1,49,198.0,1,single
20381,16271051,"Entire Unit 2BR+bathroom, 20min to Manhattan",69427329,Michelle & Eddie,Queens,Elmhurst,40.7369,-73.87613,Entire home/apt,120,1,134,2019-06-23,6,249,191.0,2,few
8067,6225968,"Amazing 1bedroom uptown, Manhattan",19007308,Luca,Manhattan,Harlem,40.82337,-73.94529,Entire home/apt,155,5,22,2019-05-10,1,362,235.0,1,single
28663,22186387,Sunny and Cozy Private Chef’s Room in East Village,82402385,Sechul,Manhattan,East Village,40.72695,-73.97974,Private room,150,1,133,2019-06-30,1,14,184.0,1,single
18379,14441627,Zen Temple Vibe apt in heart of Hells Kitchen NYC,88884610,Lena,Manhattan,Hell's Kitchen,40.75987,-73.99008,Entire home/apt,198,3,15,2019-05-27,1,4,218.0,1,single
36481,28999699,한성 韓城 Han B (2F),92706260,Kane,Queens,Flushing,40.76237,-73.8157,Private room,48,1,39,2019-06-28,5,84,186.0,3,few
10789,8304809,Parkway Chic ( 2 Bedrooms),43443842,Rigoberto,Brooklyn,Crown Heights,40.66889,-73.93045,Entire home/apt,205,3,84,2019-06-20,1,172,194.0,1,single
35414,28100131,When modern renovation meets prewar details,212262028,R R,Brooklyn,Fort Greene,40.69032,-73.97678,Entire home/apt,335,3,16,2019-06-23,2,81,191.0,1,single
37829,29945765,GREAT FURNISHED BEDROOM FOR LONG STAY,3229770,Luis,Queens,Long Island City,40.73511,-73.92488,Private room,79,5,1,2019-01-03,4,315,362.0,1,single
37603,29828155,Bergen Beach Beauty,224365956,Marshall,Brooklyn,Bergen Beach,40.62221,-73.90975,Entire home/apt,49,3,20,2019-06-30,1,164,184.0,1,single
39519,30772697,"Relaxing Private Bedroom~Hamilton Heights, NY",178473107,Allan C.,Manhattan,Harlem,40.83024,-73.94715,Private room,90,1,1,2019-03-09,6,40,297.0,1,single
4294,2858010,☀️Sunny Central Park North☀️,14611970,Chad,Manhattan,Harlem,40.80005,-73.95212,Private room,111,3,104,2019-06-23,1,317,191.0,1,single
5175,3738529,True Industrial Loft in Brooklyn,19111611,Chaim,Brooklyn,Navy Yard,40.69817,-73.9654,Entire home/apt,150,1,7,2016-07-11,1,0,1268.0,1,single
47143,35608108,"BEST LOCATION IN WILLIAMSBURG, CLOSE TO SUBWAY",75395247,Ramiro,Brooklyn,Williamsburg,40.71243,-73.9604,Entire home/apt,160,2,3,2019-07-01,1,309,183.0,1,single
10105,7749239,"1BR w/roof: Williamsburg, Brooklyn",10784441,Aaron,Brooklyn,Williamsburg,40.7149,-73.95588,Entire home/apt,111,2,15,2017-12-24,1,0,737.0,1,single
37652,29855428,Cozy 1 bedroom Apartment  5 min from LGA!,7849770,Melitza,Queens,East Elmhurst,40.76373,-73.86508,Entire home/apt,70,1,83,2019-07-07,1,0,177.0,1,single
43597,33745352,温暖的双人房间,140630987,Jiali,Queens,Flushing,40.75966,-73.81469,Private room,65,1,11,2019-06-21,6,126,193.0,1,single
43534,33710571,Very huge apartment in the heart of Williamsburg.,217498918,Mike,Brooklyn,Williamsburg,40.71072,-73.94207,Entire home/apt,230,2,10,2019-06-24,1,169,190.0,1,single
13078,9899970,Cozy Nolita Apartment,2574856,Audrey,Manhattan,Nolita,40.72051,-73.99513,Entire home/apt,225,2,29,2019-04-27,1,176,248.0,1,single
42247,32794232,Cozy Small Bedroom on Orchard,16664377,D,Manhattan,Lower East Side,40.71899,-73.98968,Private room,75,1,6,2019-06-01,3,155,213.0,1,single
34916,27681899,Cozy One Bedroom Manhattan Apartment with Office,128610997,Zani,Manhattan,Harlem,40.82663,-73.94108,Entire home/apt,170,3,3,2018-12-08,2,180,388.0,1,single
4220,2761766,Spacious apt. in Brownstone,2155360,Evan,Brooklyn,Park Slope,40.66587,-73.97881,Entire home/apt,115,13,2,2016-03-23,1,0,1378.0,1,single
4660,3269281,Stylish 2BR in heart of Park Slope,1746811,Jon,Brooklyn,Park Slope,40.67751,-73.98143,Entire home/apt,100,2,52,2019-06-30,2,30,184.0,2,few
30683,23746579,"Spacious,sunny, artistic loft by the L train",124357,Alex,Brooklyn,Williamsburg,40.71603,-73.95432,Entire home/apt,300,1,70,2019-07-05,3,1,179.0,1,single
7825,5965198,Private Vintage L Shaped Studio,1566167,Beth,Brooklyn,Kensington,40.63555,-73.97151,Entire home/apt,49,5,21,2019-03-20,1,34,286.0,1,single
20881,16534156,#1 Large sunny Studio 5 blocks from CENTRAL PARK!,80262218,Laila,Manhattan,Upper East Side,40.77251,-73.95431,Entire home/apt,100,30,26,2019-05-28,3,250,217.0,1,single
5389,3895455,Bedroom in Spacious Loft-Like Apt.,157795,Madeline,Brooklyn,Crown Heights,40.67658,-73.94683,Private room,42,4,4,2018-07-17,2,0,532.0,1,single
12917,9826494,large room in 3 bedroom apartment,18215000,Haley,Brooklyn,Bedford-Stuyvesant,40.69573,-73.95345,Private room,60,2,1,2016-09-01,1,0,1216.0,1,single
37577,29806013,NICE BED IN A SHARED ROOM FOR A MAN NEAR MIDTOWN 1,221836975,Jon,Queens,Jackson Heights,40.75125,-73.89346,Shared room,58,2,4,2019-05-31,3,267,214.0,1,single
31205,24232309,VERA’S PLACE JUST A STEP FROM SUBWAY,139946116,Vera,Queens,Long Island City,40.7613,-73.92864,Private room,60,7,1,2018-05-05,1,365,605.0,1,single
22649,18327630,Gigantic 2 Bed/2 Bath Step to Columbus Circle&Park,125545452,Tasny,Manhattan,Hell's Kitchen,40.76597,-73.98379,Entire home/apt,325,5,84,2019-06-24,1,69,190.0,1,single
19300,15379574,Private 2 BR Apartment Close to Subway,98308046,Pardis,Brooklyn,Bushwick,40.68946,-73.91537,Entire home/apt,150,2,110,2019-06-23,1,152,191.0,1,single
21478,17171691,Modern 1 Bedroom Luxury Apartment in Dumbo,115517627,Kevin,Brooklyn,Vinegar Hill,40.69891,-73.98423,Entire home/apt,175,4,1,2017-10-22,1,0,800.0,1,single
9865,7593985,UES - Private Studio with Kitchen,16382059,Sabrina,Manhattan,Upper East Side,40.77459,-73.9476,Private room,115,2,18,2016-02-15,1,0,1415.0,1,single
11685,9093389,Studio Apartment in Brooklyn,38738475,Homero,Brooklyn,Park Slope,40.67036,-73.97776,Entire home/apt,90,5,1,2016-01-05,1,0,1456.0,1,single
47125,35604447,Empire State Studio Apt,267860635,Jey,Manhattan,Midtown,40.74307,-73.98386,Entire home/apt,170,1,3,2019-06-23,1,270,191.0,1,single
322,77936,Hells Kitchen Garden of Eden,134355,Moss Owen,Manhattan,Hell's Kitchen,40.76248,-73.9913,Private room,150,3,36,2019-06-14,1,49,200.0,1,single
28333,22018921,Clean and simple Private Ensuite in Manhanttan,70235067,Caeli,Manhattan,Washington Heights,40.84754,-73.93229,Private room,34,3,4,2018-08-26,1,0,492.0,1,single
21750,17482187,Minimalist Room with a Spectacular view,7275333,Maria,Manhattan,Kips Bay,40.73695,-73.97336,Private room,133,2,37,2019-06-02,1,33,212.0,1,single
25542,20438015,Prime Upper West Side Duplex,15004693,S,Manhattan,Upper West Side,40.78304,-73.97309,Entire home/apt,250,2,2,2017-12-24,1,0,737.0,1,single
11385,8845805,Large Sunny Private Room,46322730,Tia,Manhattan,Washington Heights,40.84444,-73.9399,Private room,95,2,32,2019-06-30,1,170,184.0,1,single
22838,18496255,Beautiful Park-view Home in Flushing NYC,23234988,Ann,Queens,Flushing,40.74888,-73.8066,Entire home/apt,400,1,8,2019-03-29,6,255,277.0,2,few
30289,23392375,Home away from home in cozy BK apartment,23625464,Liz,Brooklyn,Bushwick,40.68831,-73.91866,Private room,30,3,1,2018-07-28,1,0,521.0,1,single
34644,27482592,"Cute, clean and sunny one bedroom with character",52644225,Alex And Tatiana,Queens,Sunnyside,40.74245,-73.92587,Entire home/apt,77,2,3,2018-09-10,1,0,477.0,1,single
16539,13248583,Spacious & cozy room in trendy SoHa !,3097033,Aida,Manhattan,Harlem,40.80304,-73.95148,Private room,65,2,50,2019-06-24,2,15,190.0,2,few
40085,31120226,Private Room in 2BR East Village Apartment,15687009,Chad,Manhattan,East Village,40.72373,-73.97534,Private room,100,1,17,2019-07-06,1,73,178.0,1,single
4228,2774381,Brooklyn Studio,1253739,Ariana,Brooklyn,Flatbush,40.64602,-73.95964,Entire home/apt,70,20,11,2018-12-30,1,211,366.0,1,single
27399,21609824,Room in house with WIFI and Netflix,119848398,Devi,Bronx,Parkchester,40.83079,-73.8815,Private room,50,2,10,2019-01-15,2,283,350.0,1,single
18349,14403485,Cozy private bdrm in Manhattan near Subway Station,88550022,Sheila & Tony,Manhattan,East Harlem,40.79105,-73.94376,Private room,85,2,123,2019-06-29,1,64,185.0,1,single
21081,16720662,Beautiful Brooklyn 3-Bedroom Duplex,107947878,Michael,Brooklyn,Bedford-Stuyvesant,40.67948,-73.90822,Entire home/apt,150,2,112,2019-07-07,2,195,177.0,1,single
29648,22766857,Howard Johnson JFK NYC,167995009,Danlin,Queens,Jamaica,40.66745,-73.78156,Private room,130,1,4,2018-08-07,1,365,511.0,1,single
37111,29507584,Modern and spacious 1BR apartment in Harlem,9212560,Karla,Manhattan,Harlem,40.82153,-73.94612,Entire home/apt,140,1,5,2019-06-30,1,3,184.0,1,single
46919,35489384,Cozy Apartment,236186921,Iveth,Staten Island,Tottenville,40.50641,-74.23059,Entire home/apt,75,1,1,2019-06-28,1,299,186.0,1,single
22307,18005542,Single Room in Family Apt,6122006,Allison,Manhattan,Morningside Heights,40.81131,-73.9582,Private room,45,1,76,2019-06-09,2,0,205.0,2,few
7199,5266736,Cozy Garden Flat.,27261471,Philmore,Brooklyn,Canarsie,40.64716,-73.89403,Entire home/apt,120,2,1,2019-06-30,2,140,184.0,1,single
35143,27875757,Sun-Drenched  Perch in Charming Brownstone,210578372,Joyce,Brooklyn,Carroll Gardens,40.68112,-73.99296,Entire home/apt,150,4,9,2019-05-18,1,0,227.0,1,single
11336,8809245,Classic NY Apartment. Prime Manhattan Location,3333577,Julia,Manhattan,Gramercy,40.73563,-73.98801,Entire home/apt,410,30,3,2019-05-27,2,346,218.0,2,few
9463,7259804,Beautiful Place near Manhattan,5499064,Akira,Brooklyn,Bedford-Stuyvesant,40.68754,-73.92522,Private room,45,3,87,2019-06-30,1,258,184.0,1,single
23369,18913450,Light Filled Private Room,27982346,Christopher,Manhattan,East Harlem,40.79729,-73.93537,Private room,49,7,5,2017-12-29,1,0,732.0,1,single
16253,13100152,"BEAUTIFUL TOP-FLOOR SUBLET IN ASTORIA, NYC",620810,Jay,Queens,Astoria,40.76555,-73.9169,Entire home/apt,110,13,1,2016-09-01,1,0,1216.0,1,single
29520,22658582,Comfy couch in Manhattan!,37818581,Sofia,Manhattan,East Harlem,40.8024,-73.93735,Shared room,30,1,17,2018-05-25,4,0,585.0,2,few
2346,1139851,The Perfect Large Chelsea Studio,5654454,Stuart,Manhattan,Chelsea,40.74057,-73.99771,Entire home/apt,90,45,11,2019-02-19,1,279,315.0,1,single
2753,1491991,Charming Brwnstn Duplex sleeps 5,7959444,Molly,Brooklyn,Park Slope,40.6747,-73.97947,Entire home/apt,190,3,17,2018-10-22,1,167,435.0,1,single
8692,6676250,Comfortable bed in a great room!,12720552,Julie,Brooklyn,Bushwick,40.70161,-73.92919,Shared room,50,1,9,2019-05-05,5,365,240.0,3,few
8708,6688617,"Quiet, Spacious, Safe Studio in BK",35008385,Abe,Brooklyn,Williamsburg,40.71366,-73.94021,Entire home/apt,49,7,1,2015-06-09,1,0,1666.0,1,single
20418,16288338,"CLEAN, SAFE, PLACE; Bed-Stuy Brooklyn.",99494083,Eunice,Brooklyn,Bedford-Stuyvesant,40.68322,-73.93073,Entire home/apt,115,5,47,2019-06-01,2,91,213.0,1,single
28227,21978281,Welcome to Brooklyn! Stay in Bed-Stuy!,151777787,Kristina,Brooklyn,Brownsville,40.67528,-73.906,Private room,40,2,3,2018-01-07,2,0,723.0,1,single
24964,20000290,Unique Place in New York City,361155,Alexandra,Brooklyn,Flatbush,40.64063,-73.96348,Entire home/apt,200,4,17,2019-06-17,1,95,197.0,1,single
22305,18004335,Peaceful apt by the central park,5490071,Alex,Manhattan,East Harlem,40.78822,-73.94871,Entire home/apt,150,3,102,2019-07-04,3,222,180.0,1,single
11103,8593656,SMALL AND COZY PARISIAN STYLE APT IN EAST HARLEM,45226022,Caroline,Manhattan,East Harlem,40.79802,-73.94003,Private room,75,4,162,2019-06-23,1,60,191.0,1,single
13532,10123090,Midtown Manhattan steps from 5thAve,51948055,Yvonne,Manhattan,Midtown,40.76372,-73.97692,Entire home/apt,500,29,5,2016-09-26,1,88,1191.0,1,single
12280,9495238,Old World Manhattan One-Bedroom,45514903,Trevor,Manhattan,Washington Heights,40.84687,-73.94228,Entire home/apt,95,5,2,2017-01-05,1,0,1090.0,1,single
38987,30466608,Manhattan studio near Central Park & Times Square.,38407262,Kay,Manhattan,Upper West Side,40.80017,-73.96882,Entire home/apt,115,3,9,2019-06-22,1,315,192.0,1,single
8839,6780285,Beautiful Williamsburg townhouse on a park.,230856,Gabrielle & Malcolm,Brooklyn,Williamsburg,40.7154,-73.93866,Entire home/apt,295,30,6,2018-04-19,1,0,621.0,1,single
31920,24913510,True NYC soho experience amazing gem.. large space,28823649,Rose,Manhattan,SoHo,40.72432,-74.00195,Entire home/apt,160,1,6,2019-05-25,3,172,220.0,1,single
25044,20054294,Sunny room in lovely modern building,11307033,Devon,Manhattan,East Village,40.72408,-73.97753,Private room,175,1,68,2019-05-12,2,22,233.0,1,single
22425,18117334,"Bright Zen Bedroom with TV, nr JMZ Subways",3388950,Amaya,Brooklyn,Bedford-Stuyvesant,40.69624,-73.93414,Private room,72,4,59,2019-06-27,6,120,187.0,4,few
18679,14783847,Midtown East Pied-à-Terre,32507569,Cranston,Manhattan,Midtown,40.75586,-73.96185,Entire home/apt,200,6,23,2019-07-01,1,89,183.0,1,single
407,134934,Prime Williamsburg Apartment,652842,Giovanni,Brooklyn,Williamsburg,40.71823,-73.95849,Entire home/apt,225,10,22,2019-05-30,1,52,215.0,1,single
24372,19621939,"Calm, quirky Harlem apartment Room 2",41940272,Nicole,Manhattan,Harlem,40.82077,-73.94568,Private room,75,2,44,2019-06-30,3,77,184.0,1,single
2414,1190223,Large 1 Bedroom in Astoria,3202825,Joseph,Queens,Astoria,40.76797,-73.92858,Entire home/apt,119,7,11,2019-04-30,1,143,245.0,1,single
7023,5049823,NYC New Years Penthouse suite,22927481,Howard,Manhattan,Midtown,40.7655,-73.98018,Private room,500,3,1,2015-11-11,3,0,1511.0,1,single
32256,25231699,Lovely room in Bushwick 2 bd with a huge backyard,9430106,Cortney,Brooklyn,Bushwick,40.70238,-73.92886,Private room,70,7,1,2018-06-30,1,0,549.0,1,single
23214,18794680,HUGE ROOM -- BEST PRICE,32209352,Diana,Brooklyn,Bushwick,40.69573,-73.91376,Private room,65,2,17,2019-05-24,2,349,221.0,1,single
36548,29059214,Comfy Van,10407935,Meng,Manhattan,SoHo,40.72725,-74.00245,Entire home/apt,89,1,45,2019-06-30,8,34,184.0,1,single
46283,35183442,2  Big Rooms in Brooklyn NY 1 block  from Subway!,63866600,David,Brooklyn,Bay Ridge,40.62937,-74.03001,Private room,100,1,6,2019-07-04,3,365,180.0,1,single
40069,31111599,Tribeca Treasure,6096884,Juliet,Manhattan,SoHo,40.71973,-74.00232,Entire home/apt,288,3,4,2019-05-09,1,87,236.0,1,single
30999,24035864,Warm and Friendly Near Broadway and 96th,20154516,David,Manhattan,Upper West Side,40.79566,-73.96859,Private room,95,6,22,2018-08-24,1,0,494.0,1,single
42326,32845131,"Modern, Private Bedroom in East Harlem",74205904,Carly,Manhattan,East Harlem,40.79368,-73.94294,Private room,75,2,3,2019-05-05,1,0,240.0,1,single
9190,7034609,Comfy room close to Columbia,36871638,Francisco,Manhattan,Morningside Heights,40.81142,-73.95978,Private room,70,4,5,2018-01-02,1,0,728.0,1,single
37618,29831549,Cozy Room Conveniently Located Near Central Park,1512565,Jean,Manhattan,East Harlem,40.7879,-73.95418,Private room,90,2,9,2019-06-30,3,112,184.0,1,single
1521,690349,Full 1BR Apartment in Park Slope,3540041,Peter,Brooklyn,South Slope,40.66481,-73.98367,Entire home/apt,179,2,77,2019-06-24,1,0,190.0,1,single
17728,13914735,Beautiful bedroom / in Beach home,82562435,Josephine,Queens,Arverne,40.59005,-73.79449,Private room,37,1,114,2019-06-04,2,305,210.0,1,single
6709,4822324,NYC Duplex + Terrace in East 60s ,24832100,Lindsay,Manhattan,Upper East Side,40.76172,-73.96074,Entire home/apt,185,3,7,2016-07-24,1,0,1255.0,1,single
10668,8206060,2 bed duplex with private garden!,3039478,Leela,Brooklyn,Bedford-Stuyvesant,40.69352,-73.94376,Entire home/apt,325,5,9,2019-06-29,1,0,185.0,1,single
